"c","Year","Sales"
"Algeria",2015,0
"Algeria",2016,0
"Algeria",2017,0
"Algeria",2018,0
"Algeria",2019,0
"Algeria",2020,2
"Algeria",2021,1
"Algeria",2022,1
"Algeria",2023,0
"Algeria",2024,3979
"Algeria",2025,5760
"Algeria",2026,7928
"Algeria",2027,10957
"Algeria",2028,14618
"Algeria",2029,18690
"Algeria",2030,70929
"Algeria",2031,93727
"Algeria",2032,119383
"Algeria",2033,147897
"Algeria",2034,179265
"Algeria",2035,213358
"Algeria",2036,257516
"Algeria",2037,305564
"Algeria",2038,357374
"Algeria",2039,411567
"Algeria",2040,469375
"Algeria",2041,492858
"Algeria",2042,516340
"Algeria",2043,539822
"Algeria",2044,563304
"Algeria",2045,586786
"Algeria",2046,610267
"Algeria",2047,633750
"Algeria",2048,657231
"Algeria",2049,680714
"Algeria",2050,704195
"Argentina",2015,0
"Argentina",2016,0
"Argentina",2017,0
"Argentina",2018,6
"Argentina",2019,35
"Argentina",2020,26
"Argentina",2021,85
"Argentina",2022,55
"Argentina",2023,587
"Argentina",2024,12613
"Argentina",2025,15458
"Argentina",2026,18802
"Argentina",2027,22795
"Argentina",2028,27427
"Argentina",2029,53090
"Argentina",2030,126609
"Argentina",2031,159577
"Argentina",2032,195093
"Argentina",2033,233159
"Argentina",2034,273773
"Argentina",2035,316935
"Argentina",2036,351658
"Argentina",2037,388079
"Argentina",2038,426199
"Argentina",2039,466019
"Argentina",2040,507538
"Argentina",2041,550756
"Argentina",2042,595673
"Argentina",2043,642289
"Argentina",2044,690604
"Argentina",2045,740619
"Argentina",2046,761858
"Argentina",2047,783097
"Argentina",2048,804336
"Argentina",2049,825576
"Argentina",2050,846815
"Australia",2015,893
"Australia",2016,584
"Australia",2017,1421
"Australia",2018,1803
"Australia",2019,6289
"Australia",2020,5240
"Australia",2021,17193
"Australia",2022,33465
"Australia",2023,87414
"Australia",2024,94987
"Australia",2025,120513
"Australia",2026,137225
"Australia",2027,280794
"Australia",2028,416411
"Australia",2029,470977
"Australia",2030,549592
"Australia",2031,592211
"Australia",2032,638192
"Australia",2033,687757
"Australia",2034,741037
"Australia",2035,798537
"Australia",2036,827862
"Australia",2037,857389
"Australia",2038,887116
"Australia",2039,917046
"Australia",2040,947176
"Australia",2041,950753
"Australia",2042,954330
"Australia",2043,957907
"Australia",2044,961483
"Australia",2045,965060
"Australia",2046,968637
"Australia",2047,972214
"Australia",2048,975791
"Australia",2049,979368
"Australia",2050,982945
"Austria",2015,1807
"Austria",2016,4013
"Austria",2017,5690
"Austria",2018,7235
"Austria",2019,9719
"Austria",2020,16655
"Austria",2021,35552
"Austria",2022,35813
"Austria",2023,50877
"Austria",2024,78988
"Austria",2025,110298
"Austria",2026,154658
"Austria",2027,188664
"Austria",2028,224154
"Austria",2029,257639
"Austria",2030,293707
"Austria",2031,301646
"Austria",2032,309678
"Austria",2033,318091
"Austria",2034,323635
"Austria",2035,329179
"Austria",2036,334724
"Austria",2037,340270
"Austria",2038,345821
"Austria",2039,351359
"Austria",2040,356899
"Austria",2041,362438
"Austria",2042,367977
"Austria",2043,373515
"Austria",2044,379055
"Austria",2045,384594
"Austria",2046,390132
"Austria",2047,395671
"Austria",2048,401210
"Austria",2049,406750
"Austria",2050,412288
"Belgium",2015,1704
"Belgium",2016,2465
"Belgium",2017,3222
"Belgium",2018,4401
"Belgium",2019,9330
"Belgium",2020,15469
"Belgium",2021,22865
"Belgium",2022,40025
"Belgium",2023,96875
"Belgium",2024,145399
"Belgium",2025,196916
"Belgium",2026,216186
"Belgium",2027,272537
"Belgium",2028,328172
"Belgium",2029,383066
