"c","chemistry","share_units","bench_Region","year"
"Algeria","NMC 811",0.647531295213288,"Rest of the World",2024
"Algeria","NMC 811",0.660092724297425,"Rest of the World",2025
"Algeria","NMC 811",0.665377787074249,"Rest of the World",2026
"Algeria","NMC 811",0.669053848277698,"Rest of the World",2027
"Algeria","NMC 811",0.686932841285483,"Rest of the World",2028
"Algeria","NMC 811",0.708771373326647,"Rest of the World",2029
"Algeria","NMC 811",0.717836060588719,"Rest of the World",2030
"Algeria","NMC 811",0.722279162201572,"Rest of the World",2031
"Algeria","NMC 811",0.726124621781367,"Rest of the World",2032
"Algeria","NMC 811",0.729452625988815,"Rest of the World",2033
"Algeria","NMC 811",0.733035258690393,"Rest of the World",2034
"Algeria","NMC 811",0.735383105720286,"Rest of the World",2035
"Algeria","NMC 811",0.737403402587083,"Rest of the World",2036
"Algeria","NMC 811",0.740698933898607,"Rest of the World",2037
"Algeria","NMC 811",0.746727145419826,"Rest of the World",2038
"Algeria","NMC 811",0.75649053324611,"Rest of the World",2039
"Algeria","NMC 811",0.75649053324611,"Rest of the World",2040
"Algeria","NMC 811",0.760594588131752,"Rest of the World",2041
"Algeria","NMC 811",0.764650915465797,"Rest of the World",2042
"Algeria","NMC 811",0.768659345062652,"Rest of the World",2043
"Algeria","NMC 811",0.772619734382268,"Rest of the World",2044
"Algeria","NMC 811",0.776531968000731,"Rest of the World",2045
"Algeria","NMC 811",0.780395957060332,"Rest of the World",2046
"Algeria","NMC 811",0.784211638700799,"Rest of the World",2047
"Algeria","NMC 811",0.787978975473364,"Rest of the World",2048
"Algeria","NMC 811",0.791697954739297,"Rest of the World",2049
"Algeria","NMC 811",0.795368588054514,"Rest of the World",2050
"Algeria","NMC 111",0.000435713825895566,"Rest of the World",2024
"Algeria","NMC 111",0.000335131157833737,"Rest of the World",2025
"Algeria","NMC 111",0.000290458824032532,"Rest of the World",2026
"Algeria","NMC 111",0.000245609560082206,"Rest of the World",2027
"Algeria","NMC 111",0.000218981969629259,"Rest of the World",2028
"Algeria","NMC 111",0.000194900534081088,"Rest of the World",2029
"Algeria","NMC 111",0.000177538282982842,"Rest of the World",2030
"Algeria","NMC 111",0.000166471148559616,"Rest of the World",2031
"Algeria","NMC 111",0.000152676749735323,"Rest of the World",2032
"Algeria","NMC 111",0.000141570869380132,"Rest of the World",2033
"Algeria","NMC 111",0.000130668416104198,"Rest of the World",2034
"Algeria","NMC 111",0.000118171848801753,"Rest of the World",2035
"Algeria","NMC 111",0.000109065514402235,"Rest of the World",2036
"Algeria","NMC 111",0.000103049908997076,"Rest of the World",2037
"Algeria","NMC 111",9.64198716848048e-05,"Rest of the World",2038
"Algeria","NMC 111",9.14623443654675e-05,"Rest of the World",2039
"Algeria","NMC 111",9.14623443654675e-05,"Rest of the World",2040
"Algeria","NMC 111",8.68750651007564e-05,"Rest of the World",2041
"Algeria","NMC 111",8.2510307487955e-05,"Rest of the World",2042
"Algeria","NMC 111",7.83577550527595e-05,"Rest of the World",2043
"Algeria","NMC 111",7.44075407533558e-05,"Rest of the World",2044
"Algeria","NMC 111",7.06502290383194e-05,"Rest of the World",2045
"Algeria","NMC 111",6.70767985361148e-05,"Rest of the World",2046
"Algeria","NMC 111",6.36786253576961e-05,"Rest of the World",2047
"Algeria","NMC 111",6.04474669941423e-05,"Rest of the World",2048
"Algeria","NMC 111",5.73754467916765e-05,"Rest of the World",2049
"Algeria","NMC 111",5.4455038986828e-05,"Rest of the World",2050
"Algeria","NMC 532",0.19946623080272,"Rest of the World",2024
"Algeria","NMC 532",0.192405761667591,"Rest of the World",2025
"Algeria","NMC 532",0.189436491864919,"Rest of the World",2026
"Algeria","NMC 532",0.18737900243235,"Rest of the World",2027
"Algeria","NMC 532",0.177263632191086,"Rest of the World",2028
"Algeria","NMC 532",0.16490329565712,"Rest of the World",2029
"Algeria","NMC 532",0.159776969815157,"Rest of the World",2030
"Algeria","NMC 532",0.157265724463443,"Rest of the World",2031
"Algeria","NMC 532",0.155094655754058,"Rest of the World",2032
"Algeria","NMC 532",0.153215260287584,"Rest of the World",2033
"Algeria","NMC 532",0.151191473914243,"Rest of the World",2034
"Algeria","NMC 532",0.149868235563471,"Rest of the World",2035
"Algeria","NMC 532",0.14872867022379,"Rest of the World",2036
"Algeria","NMC 532",0.146864790087797,"Rest of the World",2037
"Algeria","NMC 532",0.143452887814694,"Rest of the World",2038
"Algeria","NMC 532",0.137923640953561,"Rest of the World",2039
"Algeria","NMC 532",0.137923640953561,"Rest of the World",2040
"Algeria","NMC 532",0.135600832089795,"Rest of the World",2041
"Algeria","NMC 532",0.133304940161403,"Rest of the World",2042
"Algeria","NMC 532",0.131036067443081,"Rest of the World",2043
"Algeria","NMC 532",0.128794300290565,"Rest of the World",2044
"Algeria","NMC 532",0.126579709450766,"Rest of the World",2045
"Algeria","NMC 532",0.124392350383178,"Rest of the World",2046
"Algeria","NMC 532",0.122232263591607,"Rest of the World",2047
"Algeria","NMC 532",0.120099474965294,"Rest of the World",2048
"Algeria","NMC 532",0.117993996128509,"Rest of the World",2049
"Algeria","NMC 532",0.115915824797716,"Rest of the World",2050
"Algeria","NMC 622",0.152566760158096,"Rest of the World",2024
"Algeria","NMC 622",0.14716638287715,"Rest of the World",2025
"Algeria","NMC 622",0.1448952622368,"Rest of the World",2026
"Algeria","NMC 622",0.143321539729871,"Rest of the World",2027
"Algeria","NMC 622",0.135584544553802,"Rest of the World",2028
"Algeria","NMC 622",0.126130430482152,"Rest of the World",2029
"Algeria","NMC 622",0.122209431313142,"Rest of the World",2030
"Algeria","NMC 622",0.120288642186425,"Rest of the World",2031
"Algeria","NMC 622",0.11862804571484,"Rest of the World",2032
"Algeria","NMC 622",0.117190542854221,"Rest of the World",2033
"Algeria","NMC 622",0.115642598979259,"Rest of the World",2034
"Algeria","NMC 622",0.114630486867441,"Rest of the World",2035
"Algeria","NMC 622",0.113758861674725,"Rest of the World",2036
"Algeria","NMC 622",0.112333226104599,"Rest of the World",2037
"Algeria","NMC 622",0.109723546893795,"Rest of the World",2038
"Algeria","NMC 622",0.105494363455963,"Rest of the World",2039
"Algeria","NMC 622",0.105494363455963,"Rest of the World",2040
"Algeria","NMC 622",0.103717704713353,"Rest of the World",2041
"Algeria","NMC 622",0.101961634065312,"Rest of the World",2042
"Algeria","NMC 622",0.100226229739215,"Rest of the World",2043
"Algeria","NMC 622",0.0985115577864142,"Rest of the World",2044
"Algeria","NMC 622",0.0968176723194646,"Rest of the World",2045
"Algeria","NMC 622",0.095144615757954,"Rest of the World",2046
"Algeria","NMC 622",0.0934924190822361,"Rest of the World",2047
"Algeria","NMC 622",0.0918611020943473,"Rest of the World",2048
