"c","chemistry","share_units","bench_Region","year"
"Algeria","NMC 811-Si",0.647531295213288,"Rest of the World",2024
"Algeria","NMC 811-Si",0.723313767425227,"Rest of the World",2025
"Algeria","NMC 811-Si",0.770908093948566,"Rest of the World",2026
"Algeria","NMC 811-Si",0.804726958295588,"Rest of the World",2027
"Algeria","NMC 811-Si",0.839546360136711,"Rest of the World",2028
"Algeria","NMC 811-Si",0.869211814721452,"Rest of the World",2029
"Algeria","NMC 811-Si",0.886721650603154,"Rest of the World",2030
"Algeria","NMC 811-Si",0.899015670910692,"Rest of the World",2031
"Algeria","NMC 811-Si",0.909035879577473,"Rest of the World",2032
"Algeria","NMC 811-Si",0.917327649563342,"Rest of the World",2033
"Algeria","NMC 811-Si",0.924531436435737,"Rest of the World",2034
"Algeria","NMC 811-Si",0.930366038459552,"Rest of the World",2035
"Algeria","NMC 811-Si",0.935369751167649,"Rest of the World",2036
"Algeria","NMC 811-Si",0.940158694439971,"Rest of the World",2037
"Algeria","NMC 811-Si",0.945164254222224,"Rest of the World",2038
"Algeria","NMC 811-Si",0.950585867300583,"Rest of the World",2039
"Algeria","NMC 811-Si",0.953079162723989,"Rest of the World",2040
"Algeria","NMC 811-Si",0.956279425350365,"Rest of the World",2041
"Algeria","NMC 811-Si",0.959171712754497,"Rest of the World",2042
"Algeria","NMC 811-Si",0.961796059123444,"Rest of the World",2043
"Algeria","NMC 811-Si",0.964185913152988,"Rest of the World",2044
"Algeria","NMC 811-Si",0.96636943688601,"Rest of the World",2045
"Algeria","NMC 811-Si",0.968370508866071,"Rest of the World",2046
"Algeria","NMC 811-Si",0.970209507266553,"Rest of the World",2047
"Algeria","NMC 811-Si",0.971903927310179,"Rest of the World",2048
"Algeria","NMC 811-Si",0.97346887249228,"Rest of the World",2049
"Algeria","NMC 811-Si",0.974917448707978,"Rest of the World",2050
"Algeria","NMC 111",0.000435713825895566,"Rest of the World",2024
"Algeria","NMC 111",0.000272798448599775,"Rest of the World",2025
"Algeria","NMC 111",0.000198856391048479,"Rest of the World",2026
"Algeria","NMC 111",0.000144920633218841,"Rest of the World",2027
"Algeria","NMC 111",0.000112232960607304,"Rest of the World",2028
"Algeria","NMC 111",8.75280958931146e-05,"Rest of the World",2029
"Algeria","NMC 111",7.12750314338801e-05,"Rest of the World",2030
"Algeria","NMC 111",6.05319261719241e-05,"Rest of the World",2031
"Algeria","NMC 111",5.07095830920488e-05,"Rest of the World",2032
"Algeria","NMC 111",4.32604329197175e-05,"Rest of the World",2033
"Algeria","NMC 111",3.69388017991659e-05,"Rest of the World",2034
"Algeria","NMC 111",3.10969335386675e-05,"Rest of the World",2035
"Algeria","NMC 111",2.68431937210548e-05,"Rest of the World",2036
"Algeria","NMC 111",2.37817807112907e-05,"Rest of the World",2037
"Algeria","NMC 111",2.08757293804656e-05,"Rest of the World",2038
"Algeria","NMC 111",1.85599865242315e-05,"Rest of the World",2039
