"c","chemistry","share_units","bench_Region","year"
"Algeria","NMC 811",0.647531295213288,"Rest of the World",2024
"Algeria","NMC 811",0.660092724297425,"Rest of the World",2025
"Algeria","NMC 811",0.665377787074249,"Rest of the World",2026
"Algeria","NMC 811",0.669053848277698,"Rest of the World",2027
"Algeria","NMC 811",0.686932841285483,"Rest of the World",2028
"Algeria","NMC 811",0.708771373326647,"Rest of the World",2029
"Algeria","NMC 811",0.685207148743777,"Rest of the World",2030
"Algeria","NMC 811",0.656617420183247,"Rest of the World",2031
"Algeria","NMC 811",0.62710762790209,"Rest of the World",2032
"Algeria","NMC 811",0.59682487580903,"Rest of the World",2033
"Algeria","NMC 811",0.566436336260759,"Rest of the World",2034
"Algeria","NMC 811",0.534824076887481,"Rest of the World",2035
"Algeria","NMC 811",0.502775047218466,"Rest of the World",2036
"Algeria","NMC 811",0.471353867026386,"Rest of the World",2037
"Algeria","NMC 811",0.44124785865717,"Rest of the World",2038
"Algeria","NMC 811",0.412631199952424,"Rest of the World",2039
"Algeria","NMC 811",0.378245266623055,"Rest of the World",2040
"Algeria","NMC 811",0.380297294065876,"Rest of the World",2041
"Algeria","NMC 811",0.382325457732899,"Rest of the World",2042
"Algeria","NMC 811",0.384329672531326,"Rest of the World",2043
"Algeria","NMC 811",0.386309867191134,"Rest of the World",2044
"Algeria","NMC 811",0.388265984000366,"Rest of the World",2045
"Algeria","NMC 811",0.390197978530166,"Rest of the World",2046
"Algeria","NMC 811",0.392105819350399,"Rest of the World",2047
"Algeria","NMC 811",0.393989487736682,"Rest of the World",2048
"Algeria","NMC 811",0.395848977369649,"Rest of the World",2049
"Algeria","NMC 811",0.397684294027257,"Rest of the World",2050
"Algeria","NMC 111",0.000435713825895566,"Rest of the World",2024
"Algeria","NMC 111",0.000335131157833737,"Rest of the World",2025
"Algeria","NMC 111",0.000290458824032532,"Rest of the World",2026
"Algeria","NMC 111",0.000245609560082206,"Rest of the World",2027
"Algeria","NMC 111",0.000218981969629259,"Rest of the World",2028
"Algeria","NMC 111",0.000194900534081088,"Rest of the World",2029
"Algeria","NMC 111",0.000169468361029077,"Rest of the World",2030
"Algeria","NMC 111",0.000151337407781469,"Rest of the World",2031
"Algeria","NMC 111",0.000131857192953234,"Rest of the World",2032
"Algeria","NMC 111",0.000115830711311017,"Rest of the World",2033
"Algeria","NMC 111",0.000100971048807789,"Rest of the World",2034
"Algeria","NMC 111",8.59431627649113e-05,"Rest of the World",2035
"Algeria","NMC 111",7.43628507287966e-05,"Rest of the World",2036
"Algeria","NMC 111",6.55772148163214e-05,"Rest of the World",2037
"Algeria","NMC 111",5.69753787228392e-05,"Rest of the World",2038
"Algeria","NMC 111",4.98885514720732e-05,"Rest of the World",2039
"Algeria","NMC 111",4.57311721827337e-05,"Rest of the World",2040
"Algeria","NMC 111",4.34375325503782e-05,"Rest of the World",2041
"Algeria","NMC 111",4.12551537439775e-05,"Rest of the World",2042
"Algeria","NMC 111",3.91788775263798e-05,"Rest of the World",2043
"Algeria","NMC 111",3.72037703766779e-05,"Rest of the World",2044
"Algeria","NMC 111",3.53251145191597e-05,"Rest of the World",2045
"Algeria","NMC 111",3.35383992680574e-05,"Rest of the World",2046
"Algeria","NMC 111",3.1839312678848e-05,"Rest of the World",2047
"Algeria","NMC 111",3.02237334970711e-05,"Rest of the World",2048
"Algeria","NMC 111",2.86877233958382e-05,"Rest of the World",2049
"Algeria","NMC 111",2.7227519493414e-05,"Rest of the World",2050
"Algeria","NMC 532",0.19946623080272,"Rest of the World",2024
"Algeria","NMC 532",0.192405761667591,"Rest of the World",2025
"Algeria","NMC 532",0.189436491864919,"Rest of the World",2026
"Algeria","NMC 532",0.18737900243235,"Rest of the World",2027
"Algeria","NMC 532",0.177263632191086,"Rest of the World",2028
"Algeria","NMC 532",0.16490329565712,"Rest of the World",2029
"Algeria","NMC 532",0.152514380278104,"Rest of the World",2030
"Algeria","NMC 532",0.142968840421312,"Rest of the World",2031
"Algeria","NMC 532",0.133945384514868,"Rest of the World",2032
"Algeria","NMC 532",0.125357940235296,"Rest of the World",2033
"Algeria","NMC 532",0.11682977529737,"Rest of the World",2034
"Algeria","NMC 532",0.108995080409797,"Rest of the World",2035
"Algeria","NMC 532",0.10140591151622,"Rest of the World",2036
"Algeria","NMC 532",0.0934594118740528,"Rest of the World",2037
"Algeria","NMC 532",0.0847676155268648,"Rest of the World",2038
"Algeria","NMC 532",0.0752310768837603,"Rest of the World",2039
"Algeria","NMC 532",0.0689618204767803,"Rest of the World",2040
"Algeria","NMC 532",0.0678004160448973,"Rest of the World",2041
"Algeria","NMC 532",0.0666524700807013,"Rest of the World",2042
"Algeria","NMC 532",0.0655180337215405,"Rest of the World",2043
"Algeria","NMC 532",0.0643971501452824,"Rest of the World",2044
"Algeria","NMC 532",0.0632898547253829,"Rest of the World",2045
"Algeria","NMC 532",0.062196175191589,"Rest of the World",2046
"Algeria","NMC 532",0.0611161317958037,"Rest of the World",2047
"Algeria","NMC 532",0.0600497374826471,"Rest of the World",2048
"Algeria","NMC 532",0.0589969980642543,"Rest of the World",2049
"Algeria","NMC 532",0.0579579123988581,"Rest of the World",2050
"Algeria","NMC 622",0.152566760158096,"Rest of the World",2024
"Algeria","NMC 622",0.14716638287715,"Rest of the World",2025
"Algeria","NMC 622",0.1448952622368,"Rest of the World",2026
"Algeria","NMC 622",0.143321539729871,"Rest of the World",2027
"Algeria","NMC 622",0.135584544553802,"Rest of the World",2028
"Algeria","NMC 622",0.126130430482152,"Rest of the World",2029
"Algeria","NMC 622",0.116654457162545,"Rest of the World",2030
"Algeria","NMC 622",0.109353311078569,"Rest of the World",2031
"Algeria","NMC 622",0.102451494026452,"Rest of the World",2032
"Algeria","NMC 622",0.0958831714261809,"Rest of the World",2033
"Algeria","NMC 622",0.0893601901203368,"Rest of the World",2034
"Algeria","NMC 622",0.0833676268126844,"Rest of the World",2035
"Algeria","NMC 622",0.0775628602327673,"Rest of the World",2036
"Algeria","NMC 622",0.0714847802483812,"Rest of the World",2037
"Algeria","NMC 622",0.0648366413463332,"Rest of the World",2038
"Algeria","NMC 622",0.0575423800668891,"Rest of the World",2039
"Algeria","NMC 622",0.0527471817279817,"Rest of the World",2040
"Algeria","NMC 622",0.0518588523566763,"Rest of the World",2041
"Algeria","NMC 622",0.0509808170326561,"Rest of the World",2042
"Algeria","NMC 622",0.0501131148696073,"Rest of the World",2043
"Algeria","NMC 622",0.0492557788932071,"Rest of the World",2044
"Algeria","NMC 622",0.0484088361597323,"Rest of the World",2045
"Algeria","NMC 622",0.047572307878977,"Rest of the World",2046
"Algeria","NMC 622",0.0467462095411181,"Rest of the World",2047
