"Powertrain","Country","chemistry","share_units","year","ratio2024"
"BEV","Algeria","NMC 811",0.421092536074077,2022,0.915486817373781
"BEV","Algeria","NMC 811",0.435531081043072,2023,0.888992420748176
"BEV","Algeria","NMC 811",0.504405664633227,2024,1
"BEV","Algeria","NMC 811",0.587963806651817,2025,1.18746411914938
"BEV","Algeria","NMC 811",0.653626159893665,2026,1.34315936097992
"BEV","Algeria","NMC 811",0.682686110450569,2027,1.41089517713085
"BEV","Algeria","NMC 811",0.711575903901043,2028,1.48212803024089
"BEV","Algeria","NMC 811",0.734897959855032,2029,1.54756086230936
"BEV","Algeria","NMC 811",0.756449639158132,2030,1.61323796724091
"BEV","Algeria","NMC 811",0.776331600372172,2031,1.65378092305534
"BEV","Algeria","NMC 811",0.794284533816893,2032,1.69150362841649
"BEV","Algeria","NMC 811",0.811342145986145,2033,1.72003069178444
"BEV","Algeria","NMC 811",0.828634150178291,2034,1.74948671634458
"BEV","Algeria","NMC 811",0.845861873471004,2035,1.78438223184772
"BEV","Algeria","NMC 811",0.860176992241637,2036,1.81102907113152
"BEV","Algeria","NMC 811",0.873730111627501,2037,1.83561936395619
"BEV","Algeria","NMC 811",0.886945814826977,2038,1.85797093507114
"BEV","Algeria","NMC 811",0.900194868756741,2039,1.87772671108129
"BEV","Algeria","NMC 811",0.913226827325545,2040,1.89967810941871
"BEV","Algeria","NMC 811",0.922886545082067,2041,1.914205585471
"BEV","Algeria","NMC 811",0.931522091297445,2042,1.92577482445329
"BEV","Algeria","NMC 811",0.939227731574955,2043,1.93431685781573
"BEV","Algeria","NMC 811",0.946092426539306,2044,1.93975871778864
"BEV","Algeria","NMC 811",0.952199324449581,2045,1.94202512848511
"BEV","Algeria","NMC 811",0.957625493106175,2046,1.94104058126611
"BEV","Algeria","NMC 811",0.962441847756697,2047,1.93673178426563
"BEV","Algeria","NMC 811",0.966713232832807,2048,1.92903046020262
"BEV","Algeria","NMC 811",0.970498619114021,2049,1.91787644953352
"BEV","Algeria","NMC 811",0.97385138299924,2050,1.90322105736169
"BEV","Algeria","NMC 111",0.0278898846671234,2022,2.0391583266382
"BEV","Algeria","NMC 111",0.0207057592326375,2023,1.42134577233358
"BEV","Algeria","NMC 111",0.0149985846285957,2024,1
"BEV","Algeria","NMC 111",0.0115568121602545,2025,0.784942120917035
"BEV","Algeria","NMC 111",0.0085364889989501,2026,0.589938962288129
"BEV","Algeria","NMC 111",0.00644387450511998,2027,0.447868412189118
"BEV","Algeria","NMC 111",0.00404081649836145,2028,0.283050087597245
"BEV","Algeria","NMC 111",0.00331763003564405,2029,0.234951557130523
"BEV","Algeria","NMC 111",0.00260722391285255,2030,0.186993462092532
"BEV","Algeria","NMC 111",0.00207248157092107,2031,0.148474225382092
"BEV","Algeria","NMC 111",0.00157884607481083,2032,0.113074921942537
"BEV","Algeria","NMC 111",0.00113781995830553,2033,0.0811213901924757
"BEV","Algeria","NMC 111",0.000698171146418257,2034,0.0495723372254594
"BEV","Algeria","NMC 111",0.000519566412562399,2035,0.0368603271710418
"BEV","Algeria","NMC 111",0.00041364218481861,2036,0.0292881608098585
"BEV","Algeria","NMC 111",0.000313969337765347,2037,0.0221831002286123
"BEV","Algeria","NMC 111",0.000220891903034845,2038,0.0155614944122686
"BEV","Algeria","NMC 111",0.000133625280244326,2039,0.00937376707033567
"BEV","Algeria","NMC 111",4.95613623841791e-05,2040,0.00346716308946823
"BEV","Algeria","NMC 111",3.1910388954238e-05,2041,0.00222588149949233
"BEV","Algeria","NMC 111",2.05208880227732e-05,2042,0.00142671810989412
"BEV","Algeria","NMC 111",1.31823581621674e-05,2043,0.000913018324782449
"BEV","Algeria","NMC 111",8.46008982986304e-06,2044,0.000583336025251147
"BEV","Algeria","NMC 111",5.42485938852012e-06,2045,0.000372087550277645
"BEV","Algeria","NMC 111",3.47596603483487e-06,2046,0.000236943128100393
"BEV","Algeria","NMC 111",2.22573539208484e-06,2047,0.00015062539218405
"BEV","Algeria","NMC 111",1.42434732828012e-06,2048,9.55843969461224e-05
"BEV","Algeria","NMC 111",9.11029357097145e-07,2049,6.05463202535383e-05
"BEV","Algeria","NMC 111",5.82437519815451e-07,2050,3.82803209108023e-05
"BEV","Algeria","NMC 622",0.407192125095188,2022,1.31228151740801
"BEV","Algeria","NMC 622",0.374203215079674,2023,1.13224264953972
