"chemistry","share_units","bench_Region","year","ratio2024"
"NMC 721",0.0404252337416015,"Global",2024,1
"NMC 721",0.044446185638995,"Global",2025,1.13906235692494
"NMC 721",0.0477160723594812,"Global",2026,1.25872987314873
"NMC 721",0.0502292277652677,"Global",2027,1.353927384258
"NMC 721",0.0524530850971354,"Global",2028,1.44013252790045
"NMC 721",0.0543546834321913,"Global",2029,1.51595983523005
"NMC 721",0.0560304346383275,"Global",2030,1.58476331631954
"NMC 721",0.0571880032209766,"Global",2031,1.63264784391796
"NMC 721",0.057978451092625,"Global",2032,1.66508539441069
"NMC 721",0.0588568178604576,"Global",2033,1.70269820654206
"NMC 721",0.0600508876472508,"Global",2034,1.75696646376671
"NMC 721",0.0611500895063236,"Global",2035,1.80928257350511
"NMC 721",0.061972956398724,"Global",2036,1.84884138165133
"NMC 721",0.0629539688123726,"Global",2037,1.89500721213026
"NMC 721",0.064102587208595,"Global",2038,1.94873985435681
"NMC 721",0.0654396742475312,"Global",2039,2.01155017747745
"NMC 721",0.0654396742475312,"Global",2040,2.01155017747745
"NMC 721",0.0662238568163766,"Global",2041,2.05489311580855
"NMC 721",0.0669873757560917,"Global",2042,2.09746626666068
"NMC 721",0.067731335241619,"Global",2043,2.13926581269116
"NMC 721",0.0684567953982765,"Global",2044,2.18028410997523
"NMC 721",0.0691647691882098,"Global",2045,2.22050770083746
"NMC 721",0.0698562203634272,"Global",2046,2.25991500780433
"NMC 721",0.0705320623247765,"Global",2047,2.2984736293213
"NMC 721",0.0711931577404712,"Global",2048,2.33613714052328
"NMC 721",0.0718403187925508,"Global",2049,2.37284128378401
"NMC 721",0.0724743079343498,"Global",2050,2.40849941480264
"NMCA 89:4:4:3",0.0318767824019147,"Global",2024,1
"NMCA 89:4:4:3",0.0350474507399402,"Global",2025,1.13906235692494
"NMCA 89:4:4:3",0.0376258765848991,"Global",2026,1.25872987314873
"NMCA 89:4:4:3",0.0396075919789158,"Global",2027,1.353927384258
"NMCA 89:4:4:3",0.0413611852101627,"Global",2028,1.44013252790045
"NMCA 89:4:4:3",0.0428606653796501,"Global",2029,1.51595983523005
"NMCA 89:4:4:3",0.0441820567882735,"Global",2030,1.58476331631954
"NMCA 89:4:4:3",0.0450948421554593,"Global",2031,1.63264784391796
"NMCA 89:4:4:3",0.0457181393506135,"Global",2032,1.66508539441069
"NMCA 89:4:4:3",0.0464107638263617,"Global",2033,1.70269820654206
"NMCA 89:4:4:3",0.0473523317344066,"Global",2034,1.75696646376671
"NMCA 89:4:4:3",0.0482190927951197,"Global",2035,1.80928257350511
"NMCA 89:4:4:3",0.0488679535795112,"Global",2036,1.84884138165133
"NMCA 89:4:4:3",0.0496415179191348,"Global",2037,1.89500721213026
"NMCA 89:4:4:3",0.0505472457354106,"Global",2038,1.94873985435681
"NMCA 89:4:4:3",0.0516015880025458,"Global",2039,2.01155017747745
"NMCA 89:4:4:3",0.0516015880025458,"Global",2040,2.01155017747745
"NMCA 89:4:4:3",0.0522199447761947,"Global",2041,2.05489311580855
"NMCA 89:4:4:3",0.0528220075189016,"Global",2042,2.09746626666068
