"Year","c","chemistry","MWh","chem_share_mwh"
"2015","Australia","NMC 811",2.19383602818262,0.0379143153341967
"2015","Australia","LMO",3.475,0.0600556486874168
"2015","Australia","NCA",51,0.881392254117484
"2015","Australia","NMC 111",0.00147619844213418,2.55119582830855e-05
"2015","Australia","NMC 532",0.675791589959616,0.0116791661331009
"2015","Australia","NMC 622",0.516896183415629,0.00893310376951815
"2015","Austria","NMC 811",11.354331755306,0.158746558964864
"2015","Austria","LMO",4.3575,0.060922839458706
"2015","Austria","NCA",43.808,0.612486001378541
"2015","Austria","NMC 111",5.83224015479431,0.0815413954412283
"2015","Austria","NMC 532",3.49760046387954,0.0489004593348546
"2015","Austria","NMC 622",2.67522762602018,0.0374027454218067
"2015","Belgium","NMC 811",7.5297529132582,0.084812661642223
"2015","Belgium","LMO",4.4892,0.050564873114743
"2015","Belgium","NCA",71.772,0.808416215181176
"2015","Belgium","NMC 111",0.896466654653044,0.0100975057124052
"2015","Belgium","NMC 532",2.31947311826635,0.0261257827493084
"2015","Belgium","NMC 622",1.7741073138224,0.0199829616001442
"2015","Canada","NMC 811",10.7057644100203,0.0462955578033487
"2015","Canada","LMO",35.675,0.154271471086045
"2015","Canada","NCA",170.85,0.738816561599182
"2015","Canada","NMC 111",8.1972037438263,0.0354476434576628
"2015","Canada","NMC 532",3.29781508710753,0.0142609330023219
"2015","Canada","NMC 622",2.52241675904583,0.0109078330514392
"2015","China","NMC 811",1041.10262953155,0.281950014982108
"2015","China","LFP",875.9323,0.237218808312334
"2015","China","LMO",204.4463,0.0553678722086924
"2015","China","NCA",502.605,0.136114810644408
"2015","China","NMC 111",502.421941909274,0.136065235098291
"2015","China","NMC 532",320.70236439006,0.0868521833291888
"2015","China","NMC 622",245.297264169115,0.0664310754249767
"2015","Colombia","NMC 811",0.505074410266365,0.214788182124757
"2015","Colombia","LFP",0.3,0.127578141611737
"2015","Colombia","LMO",1.2415,0.527960876036572
"2015","Colombia","NMC 111",0.0303398567841985,0.0129023418176477
"2015","Colombia","NMC 532",0.155583660026122,0.0661635807042831
"2015","Colombia","NMC 622",0.119002072923315,0.0506068777050031
"2015","Czechia","NMC 811",2.63765397792181,0.231627133077656
"2015","Czechia","LMO",1.1,0.0965971459934138
"2015","Czechia","NCA",5.297,0.465159165751921
"2015","Czechia","NMC 111",0.918874836698403,0.0806915334092999
"2015","Czechia","NMC 532",0.812505744551801,0.0713506691154161
"2015","Czechia","NMC 622",0.621465440827988,0.0545743526522931
"2015","Denmark","NMC 811",22.6884605342013,0.0821984320525399
"2015","Denmark","LMO",6.0298,0.0218454709539795
"2015","Denmark","NCA",233.68,0.846603478146196
"2015","Denmark","NMC 111",1.28766671531726,0.00466511092040688
"2015","Denmark","NMC 532",6.98897758135803,0.025320492678293
"2015","Denmark","NMC 622",5.34569516912343,0.0193670152485844
"2015","Eastern Europe/Central Asia","NMC 811",0.538098506322243,0.0639375601618634
"2015","Eastern Europe/Central Asia","LMO",4.1,0.487167300380228
