"Year","c","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"2015","Australia","NMC 811",2.19383602818262,99.7198194628464,0.111668330865449,7.23568267510359,64.7961926091825
"2015","Australia","LMO",3.475,139,0.15565509518477,10.085857528193,64.7961926091825
"2015","Australia","NCA",51,600,0.671892497200448,43.5360756612649,64.7961926091825
"2015","Australia","NMC 111",0.00147619844213418,0.0670999291879171,7.51398983067381e-05,0.00486877932331779,64.7961926091825
"2015","Australia","NMC 532",0.675791589959616,30.7177995436189,0.0343984317397748,2.22888740846427,64.7961926091825
"2015","Australia","NMC 622",0.516896183415629,23.4952810643468,0.0263105051112506,1.70482055683347,64.7961926091825
"2015","Austria","NMC 811",11.354331755306,516.082442284991,0.285601794291639,11.3047259416325,39.5821250691754
"2015","Austria","LMO",4.3575,231,0.127836192584394,5.06002816324268,39.5821250691754
"2015","Austria","NCA",43.808,563,0.311566131710017,12.3324495926651,39.5821250691754
"2015","Austria","NMC 111",5.83224015479431,216.347263919239,0.119727318162279,4.7390616816963,39.5821250691754
"2015","Austria","NMC 532",3.49760046387954,158.974585949768,0.0879770813225058,3.48231983612844,39.5821250691754
"2015","Austria","NMC 622",2.67522762602018,121.595707846002,0.0672914819291657,2.66353985381039,39.5821250691754
"2015","Belgium","NMC 811",7.5297529132582,348.371836824749,0.204443566211707,10.6518217440385,52.1015258215962
"2015","Belgium","LMO",4.4892,234,0.137323943661972,7.15478699662765,52.1015258215962
"2015","Belgium","NCA",71.772,894,0.524647887323944,27.3349554486544,52.1015258215962
"2015","Belgium","NMC 111",0.896466654653044,38.2344140383318,0.0224380364074717,1.1690559332698,52.1015258215962
"2015","Belgium","NMC 532",2.31947311826635,107.312832171864,0.0629770141853659,3.28119853074587,52.1015258215962
"2015","Belgium","NMC 622",1.7741073138224,82.0809169650556,0.0481695522095397,2.50970716826006,52.1015258215962
"2015","Canada","NMC 811",10.7057644100203,545.868881864802,0.119892133069361,6.08935646089398,50.790292115089
"2015","Canada","LMO",35.675,1427,0.313419723259389,15.9186792989747,50.790292115089
"2015","Canada","NCA",170.85,2010,0.441467164506919,22.4222462445264,50.790292115089
"2015","Canada","NMC 111",8.1972037438263,273.36730675523,0.0600411391950867,3.04950699864117,50.790292115089
"2015","Canada","NMC 532",3.29781508710753,168.150032566693,0.0369317005417731,1.87577185882365,50.790292115089
"2015","Canada","NMC 622",2.52241675904583,128.613778813275,0.0282481394274709,1.43473125322901,50.790292115089
"2015","China","NMC 811",1041.10262953155,45911.2638932126,0.359363979220024,10.386548653373,28.9025869423985
"2015","China","LFP",875.9323,25352,0.198439224465196,5.73540693788744,28.9025869423985
"2015","China","LMO",204.4463,9076,0.071041117120784,2.05327206406857,28.9025869423985
"2015","China","NCA",502.605,5913,0.0462831782211542,1.33770358250743,28.9025869423985
"2015","China","NMC 111",502.421941909274,16544.8929816836,0.129502829447182,3.74296678738378,28.9025869423985
"2015","China","NMC 532",320.70236439006,14142.5546963745,0.110698863438986,3.19948352496997,28.9025869423985
"2015","China","NMC 622",245.297264169115,10817.2884287293,0.0846708080866748,2.44720539220825,28.9025869423985
"2015","Colombia","NMC 811",0.505074410266365,21.3685327420385,0.110717786228179,1.3489786233967,12.1839378238342
