"Year","c","MWh","unit","kwh_veh_total"
"2015","Australia",57.863,893,64.7961926091825
"2015","Austria",71.5249,1807,39.5821250691754
"2015","Belgium",88.781,1704,52.1015258215962
"2015","Canada",231.2482,4553,50.790292115089
"2015","China",3692.5078,127757,28.9025869423985
"2015","Colombia",2.3515,193,12.1839378238342
"2015","Czechia",11.3875,331,34.4033232628399
"2015","Denmark",276.0206,4639,59.5000215563699
"2015","Eastern Europe/Central Asia",8.416,245,34.3510204081633
"2015","Finland",14.8121,243,60.9551440329218
"2015","France",528.9786,21949,24.1003508132489
"2015","Germany",437.6664,14147,30.937046723687
"2015","Greece",0.748,34,22
"2015","Hungary",5.9199,220,26.9086363636364
"2015","India",3.75,375,10
"2015","Ireland",12.6389,514,24.5892996108949
"2015","Israel",0.075,3,25
"2015","Italy",45.5574,1885,24.1683819628647
"2015","Japan",331.651,12667,26.182284676719
"2015","Malaysia",0.34,37,9.18918918918919
"2015","Mexico",4.9342,214,23.0570093457944
"2015","Morocco",0.1525,25,6.1
"2015","Netherlands",211.5772,4128,51.2541666666667
"2015","New Zealand",3.65,101,36.1386138613861
"2015","Norway",867.3893,26459,32.782391624778
"2015","Poland",4.0453,122,33.1581967213115
"2015","Portugal",18.0589,816,22.1310049019608
"2015","Rest of EU",12.7152,370,34.3654054054054
"2015","Rest of South America",0.1965,27,7.27777777777778
"2015","Rest of South Asia/Oceania",79.2594,3152,25.1457487309645
"2015","Romania",2.7878,72,38.7194444444444
"2015","Russia",7.048,112,62.9285714285714
"2015","Slovakia",0.375,15,25
"2015","South Africa",2.529,111,22.7837837837838
"2015","South Korea",73.8464,2995,24.6565609348915
"2015","Spain",46.3383,2176,21.2951746323529
"2015","Sweden",144.9884,3595,40.3305702364395
"2015","Switzerland",188.5162,4120,45.756359223301
"2015","Thailand",1.02,34,30
"2015","Turkey",2.7461,140,19.615
"2015","United Arab Emirates",0.704,32,22
"2015","United Kingdom",383.4805,12417,30.8835064830474
"2015","United States",3185.4732,71701,44.4271795372449
"2015","Western Europe non EU",7.7903,265,29.397358490566
"2016","Australia",40.51,584,69.3664383561644
"2016","Austria",144.2779,4013,35.9526289558933
"2016","Belgium",112.9975,2465,45.8407707910751
"2016","Brazil",0.6683,28,23.8678571428571
"2016","Canada",289.6648,5182,55.8982632188344
"2016","Chile",0.0061,1,6.1
"2016","China",10042.1793,286537,35.04671054698
"2016","Colombia",2.2414,198,11.320202020202
"2016","Czechia",8.5775,221,38.8122171945701
"2016","Denmark",43.286,1280,33.8171875
"2016","Eastern Europe/Central Asia",10.27,288,35.6597222222222
"2016","Finland",13.3511,234,57.0559829059829
"2016","France",736.4009,27743,26.543665068666
"2016","Germany",499.6973,15969,31.2917089360636
"2016","Greece",1.28,41,31.219512195122
"2016","Hungary",8.4711,286,29.6192307692308
"2016","India",9.63,963,10
"2016","Ireland",12.5673,429,29.2944055944056
"2016","Israel",0.13,5,26
"2016","Italy",62.779,2154,29.1453110492108
"2016","Japan",483.7162,16717,28.9355865286834
"2016","Malaysia",3.6055,110,32.7772727272727
"2016","Mexico",3.949,153,25.8104575163399
"2016","Morocco",0.0122,2,6.1
"2016","Netherlands",237.4369,4340,54.7089631336406
"2016","New Zealand",5.1474,152,33.8644736842105
"2016","Norway",851.276,25010,34.037425029988
"2016","Poland",5.9686,170,35.1094117647059
"2016","Portugal",25.463,912,27.9199561403509
"2016","Rest of EU",26.4295,710,37.2246478873239
"2016","Rest of South America",0.9246,55,16.8109090909091
"2016","Rest of South Asia/Oceania",14.1852,471,30.1171974522293
"2016","Romania",2.4574,73,33.6630136986301
"2016","Russia",17.9112,356,50.3123595505618
"2016","Singapore",0.164,2,82
"2016","Slovakia",1.7297,67,25.8164179104478
