"Year","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"2015","NMC 811",2248.36373200872,100519.520612435,0.307028270475831,10.3830964835639,33.8180470074375
"2015","LFP",880.2223,25736,0.0786084088028223,2.65838286407371,33.8180470074375
"2015","LMO",1506.6878,63497,0.193946150674262,6.55888004041375,33.8180470074375
"2015","NCA",4400.7266,54909,0.167714839872325,5.67178833864716,33.8180470074375
"2015","NMC 111",813.527089293413,28085.6380357629,0.0857851770361884,2.90108714955117,33.8180470074375
"2015","NMC 532",692.58836200279,30964.1403386603,0.0945773158987165,3.19842011490006,33.8180470074375
"2015","NMC 622",529.743616695078,23683.701013142,0.072339837239854,2.44639201628776,33.8180470074375
"2016","NMC 811",4602.90634339691,174016.265213029,0.340151891405964,13.1770184046579,38.7386304106462
"2016","LFP",3151.3608,53886,0.105331675736536,4.08040485689169,38.7386304106462
"2016","LMO",2003.708,76430,0.149398730218302,5.78750219374665,38.7386304106462
"2016","NCA",6704.239,83430,0.163081722649653,6.3175625804564,38.7386304106462
"2016","NMC 111",853.460824717857,29217.0928621435,0.0571110372141105,2.21240336300609,38.7386304106462
"2016","NMC 532",1417.88417925483,53604.1559334614,0.104780751418069,4.05906280333436,38.7386304106462
"2016","NMC 622",1084.5043526304,41000.4859913664,0.0801441913573653,3.10467620855308,38.7386304106462
"2017","NMC 811",10154.68685117,343631.907743788,0.403591001254102,15.4224968919854,38.2131832574615
"2017","LFP",4482.5647,93513,0.109829746451877,4.19694422828609,38.2131832574615
"2017","LMO",1959.4896,75737,0.0889520762570528,3.39914199114245,38.2131832574615
"2017","NCA",9146.431,107251,0.125964840575216,4.81351753689767,38.2131832574615
"2017","NMC 111",1272.27143223262,44486.2246131263,0.0522484656663874,1.99658019343085,38.2131832574615
"2017","NMC 532",3128.06056812689,105852.739362388,0.124322602476742,4.75076239148829,38.2131832574615
"2017","NMC 622",2392.57574847052,80964.1282806983,0.0950912673186221,3.63374002423077,38.2131832574615
"2018","NMC 811",26091.1694468447,655469.427782639,0.45484786192981,21.1247166640323,46.443477989333
"2018","LFP",4864.287,101117,0.0701678054006942,3.25883692568694,46.443477989333
"2018","LMO",317.9934,16114,0.0111819379157489,0.519328087468174,46.443477989333
"2018","NCA",19851.355,246290,0.170907253895359,7.93752728450643,46.443477989333
"2018","NMC 111",2070.76064009018,72187.0694786862,0.0500925486676508,2.32647218147563,46.443477989333
"2018","NMC 532",7781.24346752366,198255.670247979,0.137574940806633,6.38945873523667,46.443477989333
"2018","NMC 622",5951.67964554149,151640.832490696,0.105227651384104,4.88713811092684,46.443477989333
"2019","NMC 721",7.13,115,6.75828948280867e-05,0.00374075975315377,55.3506884052435
"2019","NMCA 89:4:4:3",1.98,30,1.76303203899357e-05,0.00097585037038794,55.3506884052435
"2019","NMC 811",40663.8370126377,816995.699023816,0.480129864366311,26.5755185165915,55.3506884052435
"2019","LFP",2520.7742,57198,0.0336139688554514,1.86055631618165,55.3506884052435
"2019","LMO",89.5867,5730,0.00336739119447771,0.186387420744097,55.3506884052435
"2019","NCA",29421.347,367226,0.215810401183817,11.9452542705361,55.3506884052435
"2019","NMC 111",1454.05501338424,42203.0792831303,0.0248017936401148,1.37279635166514,55.3506884052435
