"","Algeria","Argentina","Australia","Austria","Belgium","Bolivia","Brazil","Canada","Chile","China","Colombia","Czechia","Denmark","Eastern Europe/Central Asia","Egypt","Ethiopia","Finland","France","Germany","Greece","Hungary","India","Indonesia","Iran","Ireland","Israel","Italy","Japan","Kenya","Malaysia","Mexico","Morocco","Netherlands","New Zealand","Nigeria","Norway","Pakistan","Peru","Philippines","Poland","Portugal","Rest of EU","Rest of Middle East/Africa","Rest of South America","Rest of South Asia/Oceania","Romania","Russia","Saudi Arabia","Singapore","Slovakia","South Africa","South Korea","Spain","Sweden","Switzerland","Thailand","Turkey","United Arab Emirates","United Kingdom","United States","Uruguay","Venezuela","Vietnam","Western Europe non EU"
"Algeria",0.0277810279183711,6.01656574154243e-08,3.18830202689944e-08,7.66281694757582e-08,2.13332440131427e-08,1.21792175857598e-06,1.36572106842307e-08,2.04649308092242e-08,1.19652010490634e-07,1.41008516173621e-09,2.18596562561346e-07,4.80227312501176e-06,1.5782113868035e-07,2.5442403090101e-08,2.64606615877443e-07,6.56029938174398e-06,2.43508494628581e-07,6.60238233199893e-07,1.57724184165368e-08,2.26010789427387e-07,1.65000706681046e-06,6.84395245277346e-09,2.7354367510643e-08,3.49412303962158e-08,2.23468057873292e-07,1.04624868742383e-07,1.84929758580265e-08,7.93011252206703e-09,1.02164352021597e-05,4.02878623740114e-08,1.77698423261218e-08,1.66713145900906e-07,8.70296469281056e-06,1.41172273443709e-07,2.11670095929515e-07,2.95799315107181e-07,1.82753533565389e-07,2.1692739607391e-07,6.4214317514421e-08,2.84827836972496e-08,5.25102388867286e-08,4.37973789225221e-07,1.01681336687176e-07,4.9241384288826e-08,1.19902400366348e-07,5.44598494037492e-07,1.42312361379534e-08,4.23595483969766e-08,1.08689512398031e-06,2.91263967074228e-08,4.33180616903186e-08,1.8261308166323e-08,6.72047189372636e-07,6.48809360877185e-08,1.12732423071002e-06,2.90362125935006e-08,2.10048135271214e-08,3.38295335686309e-08,1.10982255849862e-08,2.26672870931548e-09,7.70863756668527e-07,3.26698791126858e-06,1.12486286352541e-07,1.59858930829133e-06
"Argentina",6.33656333209991e-07,0.778902174685421,5.0984233306888e-08,1.22536335562635e-07,1.06094709385532e-07,0.00352432551909286,0.0278985966077895,9.81765966508649e-07,0.00298483986415278,2.25487140998536e-09,0.0287896313566449,2.55977645094788e-07,2.5237225605827e-07,1.22055069195724e-06,4.23133232818632e-07,1.04905944110675e-05,3.89395163871161e-07,4.92701504539879e-06,3.02660658963195e-06,3.61414531020629e-07,2.63853124774653e-07,1.09441848874267e-07,4.37424511027656e-08,5.58746262907471e-08,3.57348441368612e-07,1.6730594130229e-07,8.87165194259685e-07,3.93113068036774e-06,8.16856608183628e-07,6.44244415172265e-08,2.84158081429522e-08,2.66591491465532e-07,1.26517608493995e-06,2.25749005740128e-06,2.65031629194568e-06,4.73013571681857e-07,2.9224172347364e-07,0.00733323873388834,1.4170572458578e-07,4.55469048100942e-08,1.00763136534021e-05,7.00365199525202e-08,5.9691033688042e-06,0.0047381852476635,1.9173628792874e-07,8.70869084682952e-07,2.27572123776627e-08,6.77372808480786e-08,1.73805725159045e-06,4.65761083044046e-08,6.92700423293684e-08,2.92017126415782e-08,3.94046647691515e-06,1.03751299430135e-07,1.80270755738036e-07,4.64318946174328e-08,3.35888602898726e-08,5.37398689640603e-06,1.77472058087192e-07,2.53731287277333e-07,0.0303981488290104,5.22425016430706e-06,1.79877157773554e-07,2.55630895593292e-06
"Australia",7.41079163289984e-09,1.12521607180625e-09,0.00697231787776962,3.76474689756432e-08,2.15445744825309e-07,2.27775311668229e-08,2.5541668815873e-10,6.12375100192319e-08,2.23772781702334e-09,2.20389185744925e-07,4.08818545332757e-09,2.99373160348291e-09,2.95156554989071e-09,6.13811611123022e-07,4.06780172607439e-08,1.22690495164547e-07,4.55408755671939e-09,2.46955058128236e-08,5.13817354854534e-08,4.22684607116279e-09,2.37640352469682e-07,1.48845810213369e-08,9.80300685501971e-07,6.53469698486629e-10,2.00606015635673e-06,1.95669072485474e-09,5.35404296589175e-07,7.06527786248283e-08,1.98255378945731e-05,1.12119700192541e-06,3.32330984780185e-10,3.11786356548626e-09,1.83655341306829e-07,6.52506183397866e-05,2.04350499773769e-05,5.53202869686509e-09,1.60290345630015e-06,4.05696875864051e-09,1.56121416726022e-07,5.32684048719627e-09,9.82044695726788e-10,1.2122636872889e-06,4.44694053736916e-07,5.52546413152666e-08,9.79065619269109e-06,1.01850624508487e-09,2.66152092605405e-10,7.92206828583798e-10,2.09377008665101e-05,5.44720877272338e-10,6.14583029311686e-07,2.39065653506512e-08,1.67581381356921e-08,1.21340105262473e-09,1.26499075754104e-07,1.41188906833346e-07,7.45593818382967e-08,0.000125743592021036,7.213679643844e-07,1.03401137002857e-07,4.32500030135464e-07,6.10990964292817e-08,2.10371468872591e-09,2.98967626911677e-08
"Austria",0.000906883299884516,1.65906664620417e-06,0.000106619452408021,0.24550113342399,0.00116447700588622,2.34770519817232e-05,7.72522259059364e-06,0.000106969730395118,2.41680637455688e-05,5.6027463974765e-05,3.32317958500277e-05,0.00927099396512866,0.000116043341677672,0.000198706703291431,4.65583604299916e-05,3.11454834013024e-05,0.000182535632646398,0.000262000975704218,0.00236766997846386,0.00042282118510158,0.00824922765587857,8.2484452868469e-06,1.76124553420939e-05,1.79171454891936e-07,0.000347351401276358,2.80539358287717e-05,0.000395391140659123,0.000195029607387458,9.7024310443894e-06,1.13723117752904e-05,4.16499451821762e-05,9.65323574616643e-05,0.000404109220776898,0.000140411956617045,6.52791046026694e-06,0.000875336989848446,3.34686641011721e-07,1.59006821148932e-05,2.363632458482e-05,0.000284077253960881,6.14539510514935e-05,0.00175286059129555,7.92283182852477e-05,3.08331343825021e-05,1.6656169926563e-05,0.00189340021024278,3.8721352575123e-07,5.81010050029774e-05,0.00021365362527862,0.000934184193424107,5.34758825791615e-05,0.000555097614686517,8.98417548176273e-05,0.000129037434176806,0.00230754532548894,3.12949159020134e-05,0.000249613709680733,9.47337575697824e-05,0.000515214856670945,0.000227853851362351,8.13153818180695e-06,1.13962198566572e-06,2.7672982316144e-05,0.000255804004350035
"Belgium",0.000478842675889581,5.25519408394275e-05,0.000100752453762186,0.00375773990254684,0.188430907153921,5.74085763768965e-06,0.000135205640559591,0.000611603136088883,0.000244803525157333,2.36419661264683e-06,0.00201229268979616,0.0060082698000666,0.00526780279689442,0.000503392519811438,0.000811320435441309,0.00131981352737276,0.00503631105514371,0.00666215629983274,0.00824580866366192,0.00681229728027421,0.00466924011370498,5.67867943899036e-06,1.25991039681413e-06,1.06671471436524e-08,0.0156123890767055,0.00270130148356983,0.00165805785522002,0.000209203853721649,1.79449227965185e-05,4.00280643554295e-05,0.000232488539949007,0.00120425930059397,0.010321959187725,7.86672111989446e-05,0.00260821090912661,0.0177589111548356,4.40052238676686e-05,0.000195687404901099,6.3544986242563e-05,0.00649762870202661,0.00334318562008094,0.0104383686107831,0.00409691300220992,0.000298715435631977,0.00122996098418863,0.00257342590157029,4.51537312923417e-07,4.30555055451612e-05,0.000153912996459284,0.000926414939534857,7.10869521706104e-06,0.000151262010418366,0.00231599454342047,0.0152868645540817,0.00346549852763448,2.32674926825247e-05,0.000739283786572097,0.000126853490409847,0.00279046098409025,0.000443076447085386,0.000500429490082095,1.9947460562127e-05,4.11951537587328e-06,0.00571514014712974
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",5.95778424700539e-07,0.088369370218205,5.27302183745139e-06,2.30423026312246e-06,5.16404723949125e-05,0.093023040629847,0.858292529237577,4.92308906512397e-06,0.0298829321056248,7.63229719027111e-07,0.103137722429775,2.4067613651166e-06,7.11858797611143e-06,3.8253005107552e-08,1.98919854245021e-05,9.86350089919617e-06,3.6611839124519e-07,0.000400379852288325,2.58483137822883e-05,3.39810349349094e-07,2.48080845707357e-07,2.05799544331287e-07,4.11276700708199e-07,5.25346234031892e-08,3.35987317272231e-06,1.57304937910384e-07,5.56644990917849e-06,3.45767983407017e-06,7.6802758486529e-07,7.87453661362097e-06,0.0243960131604702,2.50655521770452e-06,4.46080494672016e-05,2.12254466606893e-06,3.18248918234383e-07,4.44738363413788e-07,2.74772466584336e-07,0.0478564798349561,9.65471149544374e-08,4.28242594219454e-07,6.31598966251528e-06,6.58499652602579e-07,7.26867974135752e-05,0.0204410918445417,0.000488545028081519,2.04702842929239e-05,2.13968604594477e-08,0.000125465689322908,1.63416185891532e-06,4.37919404887948e-08,6.51293051690437e-07,6.31490978973627e-06,3.36810749578783e-06,1.95098770407571e-06,1.01696854819495e-05,4.36563474255818e-08,3.15810277940598e-08,4.57768546557379e-06,4.83903736452482e-06,8.94788690038268e-05,0.24135106064821,0.0976006756376017,1.69124688070345e-07,0.000504735240584844
"Canada",0.0239430528438861,0.00513834560215997,0.0231839998163396,0.0174450082891828,0.0195632063226606,0.0233517523340918,0.00331812037974578,0.176458282687917,0.0233147078672003,0.0010857385369573,0.0212942040940067,0.0220849845181491,0.023117345757023,0.02511089128893,0.0197688184165639,0.023779862786647,0.0231296755284515,0.0191402368140746,0.0225219048369436,0.0232517403773501,0.0173170638198741,0.000373138475658166,0.00237825737680633,8.83810001956488e-05,0.0231511065223707,0.0238102371586197,0.0189346072318712,0.0019003553731164,0.0231718222028539,0.0039680798104707,0.0181517888543041,0.0127641222511493,0.0243550200254983,0.0231868369761443,0.062385707195117,0.0239547735485768,0.011715433277546,0.0234535536124069,0.0222364290872549,0.013809595137793,0.0115822480508094,0.0245709493922722,0.0426674818789543,0.0258029064143079,0.032715462023235,0.00602328012870394,0.0140456786573307,0.0242009351411244,0.0231003267606383,0.00330473102221245,0.01121967405985,0.00385331780188951,0.0138216846352945,0.0135697724601156,0.0233183178853644,0.00594548481850292,0.0139271814212404,0.0313709899640569,0.015250781202628,0.0481486785187202,0.0231289218471725,0.0259389372968537,0.0099422218775356,0.028491655965682
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",0.124102209054804,0.0271555748221949,0.18842679621491,0.0655127760025005,0.146826591119501,0.254025446896607,0.0392924924568551,0.0930353829251973,0.221466458255793,0.968507180713862,0.117247751033881,0.124264860814305,0.096230010098516,0.240513999778825,0.197214755171948,0.202836521885819,0.0819721253532979,0.0901489031754265,0.0999994506946074,0.110639846026745,0.0669089936209331,0.00818168501753868,0.0199617446637454,0.00198392216635207,0.0856215372358792,0.221373641416806,0.096707702365222,0.00966381361674031,0.089411211435852,0.0632746346499986,0.181402902443031,0.0531427215733198,0.128870700299109,0.127599484186263,0.101414375414601,0.142697886629416,0.065020027538467,0.254682468357372,0.245445686344548,0.0608280551254911,0.0464438727967776,0.128382118329531,0.150332036019587,0.190993926664928,0.229801555818047,0.0306254134356694,0.237747376870054,0.211820572252399,0.179658864247388,0.0134313648077723,0.0681500527227707,0.0243835570365733,0.103966188138663,0.0821853799555674,0.0901863432063291,0.107047886759361,0.0914892615346089,0.169202847024074,0.0946282199930883,0.0545911829787904,0.157317645241019,0.187128866572957,0.0830493158986396,0.0978755631339587
