"","Algeria","Argentina","Australia","Austria","Belgium","Bolivia","Brazil","Canada","Chile","China","Colombia","Czechia","Denmark","Eastern Europe/Central Asia","Egypt","Ethiopia","Finland","France","Germany","Greece","Hungary","India","Indonesia","Iran","Ireland","Israel","Italy","Japan","Kenya","Malaysia","Mexico","Morocco","Netherlands","New Zealand","Nigeria","Norway","Pakistan","Peru","Philippines","Poland","Portugal","Rest of EU","Rest of Middle East/Africa","Rest of South America","Rest of South Asia/Oceania","Romania","Russia","Saudi Arabia","Singapore","Slovakia","South Africa","South Korea","Spain","Sweden","Switzerland","Thailand","Turkey","United Arab Emirates","United Kingdom","United States","Uruguay","Venezuela","Vietnam","Western Europe non EU"
"Algeria",0.0388934390857196,2.7212233919452e-08,6.35869530412587e-08,7.22872608894153e-08,3.32496057271138e-08,2.43584351715195e-06,9.63760810262963e-09,3.34736331811972e-08,2.39304020981268e-07,2.82017032347242e-09,4.16484598644566e-07,8.95061308261728e-06,3.15642277360701e-07,5.0072145974562e-08,4.88915712340347e-07,1.3120598763488e-05,3.79184315318774e-07,1.07077314850103e-06,2.99284426927988e-08,4.52021578854774e-07,1.579119063856e-06,1.36879049055469e-08,2.65684314861834e-08,6.98824607924316e-08,4.46936115746584e-07,2.09249737484765e-07,2.58427019567025e-08,9.97446271190004e-09,2.04328704043195e-05,2.34526086747811e-08,2.65275714707078e-08,2.14940024053201e-07,1.47140694132381e-05,2.82344546887419e-07,4.23340191859029e-07,5.91598630214362e-07,2.23271674555733e-07,4.33854792147819e-07,1.2557875202398e-07,6.27604788626073e-09,0,8.5186046292599e-07,2.03362673374353e-07,9.84827685776519e-08,2.39288269915686e-07,0,2.11241754844086e-08,8.47190967939532e-08,2.17379024796062e-06,2.03677677947092e-08,4.99158471027984e-08,1.14502416911522e-08,6.31533728091892e-07,2.71605506954199e-08,2.25464846142005e-06,1.1383340307534e-08,3.01150906940852e-08,6.76590671372618e-08,1.75279708882169e-08,9.198933504482e-10,1.54172751333705e-06,6.53397582253715e-06,1.02837077881991e-07,3.19717861658266e-06
"Argentina",1.25282735001364e-06,0.95,1.01682087260797e-07,1.15594775626884e-07,1.65357282494327e-07,0.00704865103818572,0.0196874564606142,1.6058336155176e-06,0.00596967972830556,4.50974281997072e-09,0.0548519058131682,4.7709840723342e-07,5.0474451211654e-07,2.40211556277143e-06,7.81826581517574e-07,2.09811888221351e-05,6.06354775533146e-07,7.99062391056096e-06,5.74303949332689e-06,7.22829062041258e-07,2.52517402967883e-07,2.18883697748535e-07,4.24856584495832e-08,1.11749252581494e-07,7.14696882737223e-07,3.34611882604581e-07,1.23975426549114e-06,4.94455990098785e-06,1.63371321636726e-06,3.75031368497101e-08,4.24203190763259e-08,3.43711236917333e-07,2.13902841053161e-06,4.51498011480256e-06,5.30063258389137e-06,9.46027143363715e-07,3.57034404216687e-07,0.0146664774677767,2.77122435259702e-07,1.00360469923701e-08,0,1.36221262039495e-07,1.19382067376084e-05,0.009476370495327,3.82646589879285e-07,0,3.37797323536531e-08,1.35474561696157e-07,3.47611450318089e-06,3.25701585491204e-08,7.98205807645798e-08,1.83101158195377e-08,3.70292075309538e-06,4.3432518052422e-08,3.60541511476073e-07,1.82031336164036e-08,4.81571318228738e-08,1.07479737928121e-05,2.80290308013963e-07,1.02970295037012e-07,0.0607962976580208,1.04485003286141e-05,1.64447079577112e-07,5.11261791186585e-06
"Australia",1.46521733569928e-08,5.08922270133272e-10,0.00976124502887747,3.55147777936863e-08,3.35789815492322e-07,4.55550623336459e-08,1.80242217848165e-10,1.0016363927259e-07,4.47545563404668e-09,4.40778371489851e-07,7.78908075114794e-09,5.57980201426243e-09,5.90313109978143e-09,1.2080173592168e-06,7.51610904348704e-08,2.45380990329094e-07,7.09149212527597e-09,4.00511257654122e-08,9.74977511578466e-08,8.45369214232558e-09,2.27430790130938e-07,2.97691620426738e-08,9.52135032494687e-07,1.30693939697326e-09,4.01212031271346e-06,3.91338144970948e-09,7.48191841557324e-07,8.88667725614804e-08,3.96510757891461e-05,6.52677828607171e-07,4.96117736381239e-10,4.01980099492907e-09,3.10505389310954e-07,0.000130501236679573,4.08700999547539e-05,1.10640573937302e-08,1.95828191038099e-06,8.11393751728101e-09,3.05314039540583e-07,1.17374433396215e-09,0,2.35785686551953e-06,8.89388107473832e-07,1.10509282630533e-07,1.95391349508451e-05,0,3.9506360903851e-10,1.5844136571676e-09,4.18754017330202e-05,3.80917298238467e-10,7.08190332762582e-07,1.49899420554709e-08,1.57478963085795e-08,5.07955692241134e-10,2.52998151508207e-07,5.53516189123246e-08,1.06897523429857e-07,0.000251487184042073,1.13929173475507e-06,4.1962683036046e-08,8.65000060270928e-07,1.22198192858563e-07,1.92325552119276e-09,5.97935253823355e-08
"Austria",0.00179303534395422,7.50376736561586e-07,0.000212640021439455,0.275113561761712,0.0025955280641553,4.69541039634463e-05,5.45152810153901e-06,0.000174965923418798,4.83361274911376e-05,0.00011205492794953,6.33154107944986e-05,0.0191042250022925,0.000232086683355344,0.000391066481342074,8.60262464698578e-05,6.22909668026049e-05,0.000401501338306098,0.000588489748124883,0.00504420322265354,0.000845642370203159,0.0186631821791339,1.64968905736938e-05,1.7106420496757e-05,3.58342909783873e-07,0.000694702802552717,5.61078716575433e-05,0.00086626936384543,0.000245307433052116,1.94048620887788e-05,6.62011737722622e-06,6.21767980432258e-05,0.000124457295329639,0.000868507526590009,0.00028082391323409,1.30558209205339e-05,0.00175067397969689,4.08889750760324e-07,3.18013642297864e-05,4.62236500937478e-05,0.000695735961366461,0.000133944516725122,0.00340931962478216,0.000158456636570495,6.16662687650041e-05,3.32405862849392e-05,0.00416711688393231,5.74761488644784e-07,0.000116202010005955,0.00042730725055724,0.000653264697321823,6.16208083729934e-05,0.000348058408108146,0.000221199852496494,0.000316248798500861,0.00461509065097787,1.22688410708226e-05,0.00035787699309095,0.000189467515139565,0.000813704041222765,9.24686054757456e-05,1.62630763636139e-05,2.27924397133143e-06,2.52991607239416e-05,0.00051160800870007
"Belgium",0.000946739059119257,2.37686375995135e-05,0.000200938979184413,0.00842199947792785,0.209998868676688,1.14817152753793e-05,9.54117943338837e-05,0.00100037372326133,0.000489607050314667,4.72839322529366e-06,0.00383395284649067,0.0123809095946659,0.0105356055937888,0.000990706091922109,0.00149908310990149,0.00263962705474551,0.0110777583502456,0.0149641071844071,0.0175672855646941,0.0136245945605484,0.0105637621502779,1.13573588779807e-05,1.22371109635279e-06,2.13342942873047e-08,0.0312247781534109,0.00540260296713965,0.00363266794765809,0.000263135741431885,3.5889845593037e-05,2.33013735159702e-05,0.000347068715998213,0.00155262814841138,0.022183852242865,0.000157334422397889,0.00521642181825321,0.0355178223096712,5.3761587152124e-05,0.000391374809802199,0.000124269794939889,0.0159133964038856,0.00728677936149126,0.0203026613366609,0.00819382600441983,0.000597430871263954,0.00245462338594593,0.00566376113511005,6.70240683486e-07,8.61110110903224e-05,0.000307825992918567,0.000647831743814256,8.19142246234248e-06,9.48446059945446e-05,0.00570222222870894,0.037465504323727,0.00693099705526896,9.12177462729837e-06,0.0010599283946291,0.000253706980819694,0.00440711161611334,0.000179811141818178,0.00100085898016419,3.9894921124254e-05,3.76613840923703e-06,0.0114302802942595
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",1.17793741795606e-06,0.0399684483972075,1.05164250166607e-05,2.17369794057672e-06,8.04859001113446e-05,0.186046081259694,0.95,8.05249130918365e-06,0.0597658642112495,1.52645943805422e-06,0.19650479599479,4.48579020821472e-06,1.42371759522229e-05,7.52841643506643e-08,3.67545769459851e-05,1.97270017983923e-05,5.70108865079501e-07,0.000649335305762802,4.90476322215499e-05,6.79620698698188e-07,2.37422736371231e-07,4.11599088662574e-07,3.9946004382583e-07,1.05069246806378e-07,6.71974634544461e-06,3.14609875820769e-07,7.77874297053047e-06,4.34905538586632e-06,1.53605516973058e-06,4.58397181712027e-06,0.0364193992742052,3.23165300416276e-06,7.54186601253e-05,4.24508933213786e-06,6.36497836468766e-07,8.89476726827577e-07,3.35692052236809e-07,0.0957129596699122,1.88809391375547e-07,9.436124842381e-08,0,1.28078399370648e-06,0.00014537359482715,0.0408821836890834,0.000974985439727249,0,3.17604901485232e-08,0.000250931378645815,3.26832371783064e-06,3.06232207201993e-08,7.50491668341676e-07,3.95958727007576e-06,3.16506566364006e-06,8.16725276143475e-07,2.03393709638989e-05,1.71150096703924e-08,4.52784555788853e-08,9.15537093114758e-06,7.64252856484806e-06,3.6312689852992e-05,0.482702121296421,0.195201351275203,1.54616969613066e-07,0.00100947048116969
"Canada",0.00293772957068473,1.41228833096591e-05,0.00049088997680565,1.59444621550967e-05,0.00127311129794321,0.0005056715866129,3.16365391024118e-05,0.172028719405222,0.000431582652829759,0.000582089954462797,0.00122125560270096,0.000368215914157011,3.68584324752582e-05,0.0057050563698994,0.000672417555696163,0.00136189249172329,0.00623341674828709,0.000561778613278443,0.00204960714559071,0.000305647673129324,0.000260206284495742,1.24318053981591e-06,3.44718903555196e-08,9.06707845159536e-08,0.000104379963170616,0.00142264123566856,3.05125493694513e-05,8.03674697059551e-05,0.000145811324137028,3.04291864278247e-08,0.00743975458717972,0.000686043389773634,0.00703682609503968,0.000175840870717749,0.0785735813086631,0.00171171401558282,8.6906861876069e-06,0.000709274143242955,0.000687587222681188,0.000234683102011716,0,0.00575301785877731,0.0391371306763378,0.00540797974704503,0.0194385693074306,0,2.74081012847137e-08,0.00220403720067798,2.82043970576755e-06,1.07028057234491e-06,5.18116730895574e-06,0.000106223322055616,1.44760591333318e-05,0.000251262273453055,0.000438802689157983,2.0972840192475e-05,0.000576364034860014,0.0165441468465431,0.000176933644856548,0.0960353460341716,6.00106127742027e-05,0.00568004151213658,0.00013076002268226,0.0107854788497931
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",0.0827180373423743,0.00382058329264025,0.208215696026526,0.00157570077037986,0.121811116899791,0.338819484834606,0.0192663201462997,0.0354988915116888,0.273701507552978,0.96559606774964,0.0792421392917773,0.082170746615885,0.0232286112384235,0.313210643142336,0.233053119822652,0.23644163481303,0.0185422257186175,0.0345499657780863,0.0407098183507829,0.0520482830948807,0.00427727399017663,0.0136341702795903,0.0109266404195684,0.00332066380414654,0.00201166551314991,0.273515873875003,0.0383268968807761,0.00369353432601837,0.00959101391309553,0.028372234029207,0.187295755193625,0.0107455827073709,0.0928195035540784,0.0859675594139181,0.0335973418705939,0.116164364300224,0.0270367126999551,0.340133527756136,0.323219652609381,0.00311622154777741,0,0.095712103336789,0.131432663080565,0.212756444371248,0.290650714993815,0,0.276528197812503,0.254409735546189,0.190086319536168,0.000930834741037432,0.0311892746996109,0.00682745588117158,0.0501725559539766,0.0145158784761554,0.0111412774540496,0.0335054223291139,0.0601360615401978,0.169174285089539,0.0618664248342422,0.00598808497258199,0.14540388152343,0.205026324187306,0.0431081756432058,0.0265197173093089
