"c","Year","capacity_scenario","kwh_veh"
"Australia",2015,"Baseline",64.7961926091825
"Australia",2015,"Low Capacity",64.7961926091825
"Australia",2015,"High Capacity",64.7961926091825
"Austria",2015,"Baseline",39.5821250691754
"Austria",2015,"Low Capacity",39.5821250691754
"Austria",2015,"High Capacity",39.5821250691754
"Belgium",2015,"Baseline",52.1015258215962
"Belgium",2015,"Low Capacity",52.1015258215962
"Belgium",2015,"High Capacity",52.1015258215962
"Canada",2015,"Baseline",50.790292115089
"Canada",2015,"Low Capacity",50.790292115089
"Canada",2015,"High Capacity",50.790292115089
"China",2015,"Baseline",28.9025869423985
"China",2015,"Low Capacity",28.9025869423985
"China",2015,"High Capacity",28.9025869423985
"Colombia",2015,"Baseline",12.1839378238342
"Colombia",2015,"Low Capacity",12.1839378238342
"Colombia",2015,"High Capacity",12.1839378238342
"Czechia",2015,"Baseline",34.4033232628399
"Czechia",2015,"Low Capacity",34.4033232628399
"Czechia",2015,"High Capacity",34.4033232628399
"Denmark",2015,"Baseline",59.5000215563699
"Denmark",2015,"Low Capacity",59.5000215563699
"Denmark",2015,"High Capacity",59.5000215563699
"Eastern Europe/Central Asia",2015,"Baseline",34.3510204081633
"Eastern Europe/Central Asia",2015,"Low Capacity",34.3510204081633
"Eastern Europe/Central Asia",2015,"High Capacity",34.3510204081633
"Finland",2015,"Baseline",60.9551440329218
"Finland",2015,"Low Capacity",60.9551440329218
"Finland",2015,"High Capacity",60.9551440329218
"France",2015,"Baseline",24.1003508132489
"France",2015,"Low Capacity",24.1003508132489
"France",2015,"High Capacity",24.1003508132489
"Germany",2015,"Baseline",30.937046723687
"Germany",2015,"Low Capacity",30.937046723687
"Germany",2015,"High Capacity",30.937046723687
"Greece",2015,"Baseline",22
"Greece",2015,"Low Capacity",22
"Greece",2015,"High Capacity",22
"Hungary",2015,"Baseline",26.9086363636364
"Hungary",2015,"Low Capacity",26.9086363636364
"Hungary",2015,"High Capacity",26.9086363636364
"India",2015,"Baseline",10
"India",2015,"Low Capacity",10
"India",2015,"High Capacity",10
"Ireland",2015,"Baseline",24.5892996108949
"Ireland",2015,"Low Capacity",24.5892996108949
"Ireland",2015,"High Capacity",24.5892996108949
"Israel",2015,"Baseline",25
"Israel",2015,"Low Capacity",25
"Israel",2015,"High Capacity",25
"Italy",2015,"Baseline",24.1683819628647
"Italy",2015,"Low Capacity",24.1683819628647
"Italy",2015,"High Capacity",24.1683819628647
"Japan",2015,"Baseline",26.182284676719
"Japan",2015,"Low Capacity",26.182284676719
"Japan",2015,"High Capacity",26.182284676719
"Malaysia",2015,"Baseline",9.18918918918919
"Malaysia",2015,"Low Capacity",9.18918918918919
"Malaysia",2015,"High Capacity",9.18918918918919
"Mexico",2015,"Baseline",23.0570093457944
"Mexico",2015,"Low Capacity",23.0570093457944
"Mexico",2015,"High Capacity",23.0570093457944
"Morocco",2015,"Baseline",6.1
"Morocco",2015,"Low Capacity",6.1
"Morocco",2015,"High Capacity",6.1
"Netherlands",2015,"Baseline",51.2541666666667
"Netherlands",2015,"Low Capacity",51.2541666666667
"Netherlands",2015,"High Capacity",51.2541666666667
"New Zealand",2015,"Baseline",36.1386138613861
"New Zealand",2015,"Low Capacity",36.1386138613861
"New Zealand",2015,"High Capacity",36.1386138613861
"Norway",2015,"Baseline",32.782391624778
"Norway",2015,"Low Capacity",32.782391624778
